,image,locus,locus_subtype,feature_type_name,feature_subtype_name,notes
198,image: locus_28685.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Corral(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NULL,"notes: The image appears to show a corral with multiple segments, possibly indicating a complex setup. The presence of enclosing walls or boundaries suggests use for livestock. The surrounding terrain suggests a remote area with possible grazing fields."
199,image: locus_23164.tif,locus_type_name: 5 - Very High Confidence;locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence),locus_subtype_name: Corral(5 - Very High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a solitary quadrangular structure with visible straight boundary lines, possibly indicating a standalone building or residence. The surrounding area appears relatively undisturbed, suggesting minimal human activity."
200,image: locus_21588.tif,locus_type_name: Agropastoral Infrastructure(3 - Medium Confidence),locus_subtype_name: Corral(2 - Low Confidence),feature_type_name: Corral,feature_subtype_name: NULL,"notes: The image shows a distinct enclosed area with identifiable boundaries, likely used as a corral for livestock management. The presence of surrounding small partitions suggests possible separation for different livestock types or age groups."
201,image: locus_3884.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Stone faced contour terraces(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows terraced sections with stone-facing, indicative of Stone faced contour terraces. There are additional structures resembling corrals on the slopes, but the details are less distinct."
202,image: locus_11408.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Corral(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NULL,"notes: The image shows a predominantly circular shape with enclosure characteristics, suggesting a corral. The surrounding area indicates grazing potential with patterns resembling movement pathways. The corral's boundaries are clearly defined amidst an open landscape. Some straight lines might represent pathways or fences leading to the corral."
203,image: locus_29107.tif,locus_type_name: Unfortified settlement(2 - Low Confidence),locus_subtype_name: Estancia(3 - Medium Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a prominent set of enclosed areas potentially used for livestock, suggesting a corral. The structures appear isolated, with minimal residential or additional architectural features visible."
204,image: locus_12441.tif,locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence),locus_subtype_name: Corral(5 - Very High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a distinct oval enclosure, characteristic of a corral with surrounding straight boundary lines. The absence of additional structures or terracing suggests that the primary feature is a livestock containment area."
205,image: locus_9913.tif,locus_type_name: Agropastoral Infrastructure(2 - Low Confidence),locus_subtype_name: Corral(2 - Low Confidence),feature_type_name: Corral,feature_subtype_name: NULL,"notes: The image shows natural topography with vague outlines of sloping fields. There are indications of vegetation aligning in a non-linear fashion, which might suggest human intervention or cultivation. There is a soft boundary that could imply domestic settlements or small-scale architecture, although it is not distinctly visible. The features are not sharply defined, suggesting possible erosion or overgrowth."
206,image: locus_4140.tif,locus_type_name: Unfortified settlement(5 - Very High Confidence),locus_subtype_name: Isolated structure(4 - High Confidence),feature_type_name: Plaza/patio,feature_subtype_name: Plaza,"notes: The image shows a few dispersed structures in a relatively barren landscape, indicating isolated residences. Roads and paths are visible, suggesting access to the site. The area appears to be used for agricultural purposes or low-density habitation."
207,image: locus_10477.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Stone faced contour terraces(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a series of contour lines suggesting unfaced earthen terracing. The terracing appears natural, lacking visible masonry or stonework typical of faced terraces."
208,image: locus_14566.tif,locus_type_name: Unfortified settlement(5 - Very High Confidence),locus_subtype_name: Estancia(5 - Very High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a circular structure resembling a corral complex, slightly elevated compared to the surrounding area. The structure appears to have distinct boundaries that suggest its use for containing livestock."
209,image: locus_13174.tif,locus_type_name: Agropastoral Infrastructure(2 - Low Confidence),locus_subtype_name: Stone faced contour terraces(2 - Low Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a sloping terrain with what appears to be contours that could indicate agricultural terracing or similar features. Scattered vegetation and possible remnants of structures are visible, consistent with domestic architecture amidst cultivated areas. The presence of these features suggests past agricultural practices on the slopes."
210,image: locus_26109.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Stone faced contour terraces(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,notes: The image displays a landscape primarily consisting of parallel furrows indicative of agricultural activity. The patterns are consistent with traditional plowing methods used to manage irrigation and soil erosion. Sparse evidence of structured architecture suggests minimal human habitation features beside the agricultural elements.
211,image: locus_21769.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image depicts two isolated quadrangular structures, possibly remnants of residential units. Straight lines are visible, which suggest well-defined walls, characteristic of domestic architecture. There is a sparse distribution, ensuring isolation typical for some rural settlements."
212,image: locus_28894.tif,locus_type_name: Residential structure;locus_type_name: Unfortified settlement,locus_subtype_name: Estancia,feature_type_name: NA,feature_subtype_name: NA,"notes: The image displays multiple enclosed areas with circular shapes, suggesting a corral complex. The arrangement and separation of sections indicate use for livestock management, where the layout is consistent with traditional corrals. The presence of visible boundary lines enhances this interpretation."
213,image: locus_29289.tif,locus_type_name: Unfortified settlement(2 - Low Confidence),locus_subtype_name: Estancia(3 - Medium Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a circular structure that resembles a corral. There are visible outlines of enclosures that suggest areas for livestock. The terrain appears to be uneven, indicating possible use for grazing."
214,image: locus_4455.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Settlement (general)(3 - Medium Confidence),feature_type_name: Corral,feature_subtype_name: NA,"notes: The image shows a cluster of structures that appear to be residential units, with each unit having clear boundary lines. The arrangement suggests a small settlement with defined pathways potentially linking the units. The terrain is uneven but appears to have been adapted for construction, possibly including some basic terracing or leveling. There is a notable absence of large corrals or distinct ceremonial architecture, indicating domestic use rather than public or agricultural purposes."
215,image: locus_2613.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image displays faint outlines of structures that appear isolated. The terrain suggests minimal surrounding development, typical of a standalone residence or small domestic unit."
216,image: locus_25211.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Estancia(3 - Medium Confidence),feature_type_name: Corral,feature_subtype_name: NA,"notes: The image shows distinct quadrangular enclosures likely used for agricultural or livestock purposes. The presence of straight walls and enclosed sections suggests a corral complex, possibly used for grazing or farming activities. The structures appear well-defined, indicating they might be relatively well-preserved."
217,image: locus_21067.tif,locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence),locus_subtype_name: Segmented terracing(5 - Very High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image displays a series of linear patterns resembling furrows or surcos, indicating possible agricultural activity. The regularity and orientation suggest plowed fields. There are no prominent structures visible, but the terrain may indicate human-modified landscape for farming. The lack of clear architectural features lowers the confidence for domestic architecture."
218,image: locus_7135.tif,locus_type_name: 4 - High Confidence;locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Isolated structure(3 - Medium Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image displays a series of terraces on a slope, suggesting earthen contour terracing. No distinct stone facing is visible, hence categorized as unfaced. The structure patterns and slight elevation changes imply possible domestic architecture, though the details are indistinct."
219,image: locus_16735.tif,locus_type_name: Residential structure;locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence),locus_subtype_name: Corral(5 - Very High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure;locus_type_name: Agropastoral Infrastructure,"notes: The image shows several enclosed circular formations likely used for livestock containment, typical of a corral complex. The structures are separated and clearly defined, with one larger enclosure suggesting a primary corral area. The surrounding landscape appears sparsely vegetated with slight undulations, indicating possible grazing grounds."
220,image: locus_7725.tif,locus_type_name: Unfortified settlement(5 - Very High Confidence),locus_subtype_name: Estancia(5 - Very High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image displays an isolated rectangular structure, possibly a corral, surrounded by a barren landscape. A path appears to lead towards the structure, suggesting accessibility. The structure’s distinct, enclosed shape and location hint towards its use for containing livestock or agricultural purposes."
221,image: locus_11955.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Settlement (general)(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NA,"notes: The image reveals a distinct enclosure structure with discernible straight boundary lines forming multiple compartments, indicating a corral complex likely used for animal husbandry. The presence of circular formations within some compartments suggests specialized use areas or additional small enclosures within the main corral sectors."
222,image: locus_11463.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NA,notes: The image appears to show sloping terrain with faint outlines of terraced sections indicative of unfaced earthen contour terracing. There are potential remnants of domestic structures towards the central region. The observed patterns suggest possible residential use in conjunction with agricultural practices.
223,image: locus_20797.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image displays a large area with varied textures, suggesting sloping fields. There appear to be faint linear patterns indicative of past or present terracing, although not distinctly visible. Scattered irregular shapes might represent domestic architecture, potentially farm structures. The overall lack of distinct boundaries and structures makes this a challenging area to categorize with complete confidence."
224,image: locus_29369.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(3 - Medium Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,notes: The image shows a structure with possible enclosures typical of a corral. The area appears to have distinct boundaries suggesting spaces for livestock. There are also hints of linear shapes that could be aligned with domestic living areas. The presence of enclosed spaces is a key indicator.
225,image: locus_28989.tif,locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence),locus_subtype_name: Waru Waru(5 - Very High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a clear pattern of furrowed crop fields, likely used for agriculture. There are hints of linear and rectangular forms that may suggest remnants of domestic structures interspersed with the furrows. The furrows are prominent and evenly spaced, suggesting organized agricultural activity."
226,image: locus_2867.tif,locus_type_name: Agropastoral Infrastructure(3 - Medium Confidence),locus_subtype_name: Corral(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NULL,notes: The image shows a somewhat discernible structure which resembles a corral with surrounding smaller features. The layout suggests potential domestic use or habitation spaces interconnected with the corral facility. Vegetation or erosion patterns might obscure some parts.
227,image: locus_12210.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(2 - Low Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image displays two distinct rectangular formations, likely indicative of isolated structures. These could be remnants of past settlements or residential units. The orientations and positions suggest potential dwelling spaces. Further field analysis would be required to confirm the use. The structures are aligned along a ridgeline, possibly indicative of strategic placement for visibility or access."
228,image: locus_771.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: ,feature_type_name: Public/ceremonial architecture,feature_subtype_name: Church/chapel,"notes: The image appears to show a small settlement area with scattered structures, possibly residential. There is visible evidence of straight and segmented walls, indicating organized building layouts typical of a settlement. The terrain's uneven surface suggests adaptation to the natural environment."
229,image: locus_27781.tif,locus_type_name: Residential structure;locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(3 - Medium Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The aerial image reveals patterns consistent with agricultural activity, characterized by linear furrows. The surrounding area suggests possible habitation structures, but without clear architectural details, limiting confidence in feature classification."
230,image: locus_23940.tif,locus_type_name: Agropastoral Infrastructure(3 - Medium Confidence),locus_subtype_name: Segmented terracing(2 - Low Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a scattering of structures that could be indicative of a small farming settlement. The layout appears to be suitable for agricultural activities, with potential fields surrounding the structures. The structures are not densely packed, suggesting a rural, agrarian setting."
231,image: locus_21366.tif,locus_type_name: Agropastoral Infrastructure(3 - Medium Confidence),locus_subtype_name: Corral(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NULL,"notes: The image shows a structure resembling a corral, with visible boundary lines that suggest livestock containment. The surrounding vegetation and terrain are consistent with grazing areas."
232,image: locus_29334.tif,locus_type_name: Unfortified settlement(2 - Low Confidence),locus_subtype_name: Estancia(3 - Medium Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows an oval structure that resembles a corral, possibly used for livestock. There are faint outlines of walls surrounding the corral, indicating structures that maybe were more prominent in the past. The area around the corral is largely barren, with no significant signs of other architectural features or terracing."
233,image: locus_8590.tif,locus_type_name: Unfortified settlement(5 - Very High Confidence),locus_subtype_name: Estancia(5 - Very High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows several contour terracing structures, indicative of erosion control or agricultural activity. The terracing lacks stone facing, suggesting a more earthen construction. There is a possibility of domestic structures scattered within the terraces, but the details are not clear."
234,image: locus_5968.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows faint contour lines suggesting unfaced terracing across the landscape. These features might be indicative of landscape modifications used for agriculture or settlement. However, there is limited visible detail to confidently assign specific human structures or formations."
235,image: locus_14815.tif,locus_type_name: Unfortified settlement(5 - Very High Confidence),locus_subtype_name: Estancia(5 - Very High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a clustered arrangement of structures that likely represent a general settlement. There are signs of distinct boundaries and possible pathways connecting the structures, suggesting residential use. The surrounding area appears lightly vegetated, possibly used for limited agriculture."
236,image: locus_10060.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Settlement (general)(3 - Medium Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image displays a series of well-defined stone faced contour terraces suggesting historical agricultural practices. There are a few small structures at the edge of the terraces, which could indicate domestic units or storage facilities. The pattern and elevation changes suggest adaptation to the landscape for water retention and soil stabilization."
237,image: locus_11126.tif,locus_type_name: Unfortified settlement(5 - Very High Confidence),locus_subtype_name: Settlement (general)(5 - Very High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a collection of enclosed areas suggesting a corral structure. The presence of distinct, rectangular enclosures is indicative of areas designated for holding livestock. The formation appears somewhat segmented, hinting at a possible complex of connected corrals. Surrounding terrain is relatively flat, which is typical for grazing areas. Confidence in classification is high due to the clear outline of matching structures."
238,image: locus_20240.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Stone faced contour terraces(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image displays segmented terracing patterns likely used for agriculture or slope management. Some areas suggest possible foundations of domestic architecture, though clarity is less defined due to the nature of the terracing. These structures might have served multiple purposes, including agricultural support or residential uses in historical contexts. The segmentation aligns with known practices in terraced farming, suggesting a strong likelihood of historical agricultural use."
239,image: locus_8840.tif,locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence),locus_subtype_name: Corral(5 - Very High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image displays a pattern that resembles agricultural furrows, indicating possible crop field usage. There are faint indications of linear arrangements, potentially domestic in nature, but the visibility is unclear."
240,image: locus_15013.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NA,"notes: The image reveals a complex arrangement indicative of a corral, with distinct circular and linear formations that suggest boundaries or enclosures for livestock. The presence of recurring patterns appears consistent with animal management features common to agricultural settings. Additional evidence, such as surrounding paths or land use, supports the classification of this area as a corral complex."
241,image: locus_28183.tif,locus_type_name: Unfortified settlement(2 - Low Confidence),locus_subtype_name: Estancia(3 - Medium Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a distinct square enclosure that appears to be used as a corral. Additionally, nearby irregular geometric shapes could indicate different sections within the corral, or connected structures. The positioning on a slope suggests adaptation to the terrain, and the visible walls are prominent. The site might have been used for livestock management or temporary holding areas."
242,image: locus_7903.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(3 - Medium Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,notes: <notable_description>
243,image: locus_12608.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a clear circular structure consistent with a corral complex. The distinct circular walls suggest areas for livestock containment. The surrounding terrain appears disturbed, likely indicative of past human activity related to grazing or habitation."
244,image: locus_9306.tif,locus_type_name: 5 - Very High Confidence;locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence),locus_subtype_name: Corral(5 - Very High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image displays a winding pattern indicative of a canal, possibly utilized for irrigation or water management. The surrounding area seems to lack distinct architectural structures, making the exact feature classification less certain. Vegetation patterns suggest historical human modification of the landscape."
245,image: locus_8064.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NA,"notes: The image displays circular and oval structures indicative of a corral complex, with multiple enclosures that suggest use for livestock. The arrangement is typical of pastoral practices, with clearly defined boundaries visible in the image. The terrain around the corrals appears somewhat elevated, possibly aiding in maintaining livestock within specific areas."
246,image: locus_3373.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Settlement (general)(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows circular and rectangular enclosures that suggest the presence of coral structures. These formations are typical of livestock management areas, possibly indicating a historical pastoral or ranch area. Additional linear elements might represent boundary walls or pathways."
247,image: locus_21050.tif,locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence),locus_subtype_name: Segmented terracing(5 - Very High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image displays a series of layered, curved lines typical of natural earthen terracing without any stone facing. The undulating patterns are likely indicative of historical agricultural practices aimed at managing water flow and soil erosion. There appears to be some interruption in the lines which might suggest minimal or obscure structural elements possibly related to domestic use."
248,image: locus_20171.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Settlement (general)(4 - High Confidence),feature_type_name: Public/ceremonial architecture,feature_subtype_name: Church/chapel,notes: The image shows a series of interconnected enclosures suggestive of livestock management areas. The presence of straight lines and segmented sections supports the identification of a corral complex. The density of the structures and their arrangement imply possible recent or current use for animal herding. Vegetation patterns around the structures may indicate paths typically used by livestock.
249,image: locus_13005.tif,locus_type_name: Agropastoral Infrastructure(3 - Medium Confidence),locus_subtype_name: Terracing Unclear Dressing(2 - Low Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image depicts a landscape with contours suggestive of sloping fields. There are subtle indications of structured patterns, possibly related to agriculture or domestic architecture. The visibility of specific architectural features is limited, which affects confidence levels."
250,image: locus_16877.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(3 - Medium Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image depicts a landscape with subtle, linear features that suggest the presence of terracing. The absence of clear structural outlines or distinctive formations make it challenging to classify. It seems to indicate unfaced earthen contour terracing due to the linear formations following the natural slope. No distinct architectural features are prominently visible, but domestic architecture is inferred based on the patterning. Further analysis with higher resolution imagery could improve classification."
251,image: locus_14995.tif,locus_type_name: Unfortified settlement(2 - Low Confidence),locus_subtype_name: Estancia(2 - Low Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image displays a clear pattern of contour terracing suggesting stone faced techniques. There appears to be a fenced or walled area that looks consistent with corrals, although details are not very distinct. This likely indicates agricultural use with potential livestock management."
252,image: locus_10706.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Isolated structure(3 - Medium Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows extensively sloped fields with visible contour lines indicating possible terracing. Sparse vegetation and irregular patterns suggest agricultural activities. There are no clear signs of larger structures, but there might be small residential units scattered across the terrain, possibly for farm workers. The clearer definition of terraced areas is somewhat uncertain. The central areas depict pathways which might serve as access routes."
253,image: locus_8031.tif,locus_type_name: Agropastoral Infrastructure(3 - Medium Confidence),locus_subtype_name: Corral(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NULL,"notes: The image shows a distinct curved structure that resembles a water reservoir, possibly used for irrigation or livestock. Surrounding areas seem to have scattered domestic features, though these are less clear and would require ground verification to confirm. The terrain and shadowing suggest elevation changes typical of reservoir locations."
254,image: locus_10113.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Isolated structure(3 - Medium Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows what appears to be sloping fields with visible sections of linear features that could indicate cultivation or irrigation patterns. Some scattered structures are present, suggesting potential domestic use, but details are faint. The terrain seems to be terraced, aligning with agricultural practices."
255,image: locus_24780.tif,locus_type_name: Unfortified settlement(2 - Low Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows two rectangular structures that strongly resemble corral complexes. The structures are clearly defined with straight walls, indicative of enclosures used for livestock or agricultural purposes. The presence of worn paths suggests possible human or animal movement around the structures."
256,image: locus_14944.tif,locus_type_name: Unfortified settlement(2 - Low Confidence),locus_subtype_name: Isolated structure(3 - Medium Confidence),feature_type_name: Plaza/patio,feature_subtype_name: Patio,"notes: The image shows a dense cluster of structures with distinctive residential patterns, likely indicating a settlement area. Multiple small structures can be observed, along with pathways connecting them, suggesting a coherent community layout. Vegetation patterns and crop fields are visible, suggesting agricultural activities surrounding the settlement."
257,image: locus_14842.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Plaza/patio,feature_subtype_name: Patio,"notes: The image shows an area with sloping terrain, with visible patterns that suggest prior agricultural activity, possibly indicating terraced fields or furrows. Some structures can be discerned, which may belong to domestic residences situated within the landscape."
258,image: locus_7588.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Isolated structure(3 - Medium Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows dispersed structural formations amidst a rugged terrain, suggesting possible residential structures. Some linear features could indicate the remnants of walls or pathways connecting structures. Vegetation patterns and terrain gradients fit common settlement characteristics."
259,image: locus_3949.tif,locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence),locus_subtype_name: Corral(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NULL,"notes: The image shows circular structures that appear to be corrals, distinguishable by their enclosed shapes and location amidst open terrain. The arrangement suggests a possible complex, potentially used for livestock. The absence of linear domestic architecture reduces the likelihood of settlement identification."
260,image: locus_17287.tif,locus_type_name: Unfortified settlement(5 - Very High Confidence),locus_subtype_name: Estancia(5 - Very High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a central circular feature that appears to be a reservoir, possibly used for water collection. The surrounding terrain has faint linear patterns indicative of terracing or pathways leading to the reservoir. The central feature suggests potential ceremonial or communal use."
261,image: locus_29136.tif,locus_type_name: Agropastoral Infrastructure(2 - Low Confidence),locus_subtype_name: Corral(3 - Medium Confidence),feature_type_name: Corral,feature_subtype_name: NULL,"notes: The image reveals structures that resemble a corral complex, characterized by circular or quadrangular enclosures. There are subtle traces of boundaries, possibly indicating segmented usage areas. The visibility suggests fairly distinct enclosures amid natural terrain features."
262,image: locus_654.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Corral(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image prominently features a circular structure that is characteristic of a corral. The surrounding landscape appears to be largely open, which is typical for areas associated with grazing. Vegetation is sparse, consistent with environments suited for corrals. A distinct boundary or structure is visible suggesting an enclosure, indicative of a corral complex."
263,image: locus_4951.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Segmented terracing(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image reveals subtle linear features indicative of terracing, likely for agricultural purposes. There are few discernible structures, suggesting possible scattered residential areas or minor domestic features. The visibility of straight lines and divisions points towards unfaced contour terracing, although no clear stonework is evident. The area may also show historical remnants of building foundations."
264,image: locus_9046.tif,locus_type_name: 4 - High Confidence;locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Stone faced contour terraces(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image displays a series of well-defined, stone-faced contour terraces covering the hillslope. While no specific domestic or ceremonial structures are distinctly visible, the pattern of terracing indicates significant landscape modification for agricultural purposes. The presence of this infrastructure suggests potential historical agricultural zones with minor indications of habitation."
265,image: locus_6328.tif,locus_type_name: Agropastoral Infrastructure(3 - Medium Confidence),locus_subtype_name: Corral(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NULL,"notes: The image displays a circular formation characteristic of a corral structure. The area shows signs of livestock containment, with visible boundaries suggesting a historic grazing zone. Sparse vegetation is observed within and outside the structure."
266,image: locus_23853.tif,locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence),locus_subtype_name: Waru Waru(5 - Very High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a distinct pattern of parallel furrows, indicative of agricultural activity. There is a clear grid-like structure that resembles crop furrows. The presence of surrounding structures could suggest domestic architecture possibly used in conjunction with farming."
267,image: locus_28739.tif,locus_type_name: Agropastoral Infrastructure(2 - Low Confidence),locus_subtype_name: Segmented terracing(2 - Low Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a river or canal cutting through terraced land. The terracing is visible but lacks distinct facing, suggesting potential soil erosion or age. The water feature might indicate irrigation purposes. No distinct features of residential units or public architecture are visible, which complicates classification."
268,image: locus_1173.tif,locus_type_name: Campos de cultivos surcados;locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(2 - Low Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a distinct linear depression suggesting a canal, likely used for irrigation. The surrounding area has scattered small structures, possibly residential in nature. Vegetation patterns indicate water flow adjacent to the canal area. The terraced sections suggest historical agricultural activity."
269,image: locus_12860.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Stone faced contour terraces(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image depicts a clear structure indicative of corrals, with distinct wall-like formations visible. The pattern suggests a primary focus on contained spaces, possibly for livestock or agricultural purposes. The surrounding terrain appears to support this function, with relatively flat areas likely used for grazing."
270,image: locus_26124.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Segmented terracing(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a series of stone-faced contour terraces, indicating agricultural activities. There are possible traces of domestic architecture interspersed among the terraces. The layout suggests historical land modification for agricultural purposes with evidence of settlement structures."
